Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4",0603,5,10uF,
"C10, C9",0603,2,27pF,
"C12, C5, C6, C7, C8",0603,5,100nF,
"J2, J4",PinHeader_1x13_P2.54mm_Vertical,2,Conn_01x13,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,JST,
L1,0603,1,15,
R3,0603,1,1.2k,
"R4, R5",0603,2,10k,
"R6, R7",0603,2,5.1k,
"SW1, SW2",SW-SMD_4P-L3.0-W2.6-P1.80-LS3.5,2,RKCGG140GSMTRLFS,C2927791
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913205
U2,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,1,SX1262IMLTRT,C191341
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C16581
U5,IPEX-SMD_BWIPX-1-001E,1,BWU.FL-IPEX1,C5137195
USB1,USB-C-SMD_TYPE-C-16P-1,1,TYPEC-304-ACP16,C2982555
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
